127.0.0.1 - - [12/May/2019:10:17:33 +0200] "GET / HTTP/1.1" 404 1068
127.0.0.1 - - [12/May/2019:10:17:35 +0200] "GET /MapZ/map.jsp HTTP/1.1" 200 1027
127.0.0.1 - - [12/May/2019:10:17:35 +0200] "GET /MapZ/theme.css HTTP/1.1" 304 -
127.0.0.1 - - [12/May/2019:10:17:35 +0200] "GET /MapZ/jquery-3.3.1.js HTTP/1.1" 304 -
127.0.0.1 - - [12/May/2019:10:17:35 +0200] "GET /MapZ/Metro.js HTTP/1.1" 304 -
127.0.0.1 - - [12/May/2019:10:17:37 +0200] "GET /MapZ/Data/reseau.json HTTP/1.1" 304 -
127.0.0.1 - - [12/May/2019:10:17:37 +0200] "GET /MapZ/Data/mask.json HTTP/1.1" 304 -
127.0.0.1 - - [12/May/2019:10:17:37 +0200] "GET /MapZ/Data/traffic.json HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2019:10:17:47 +0200] "GET /MapZ/map.jsp HTTP/1.1" 200 1027
0:0:0:0:0:0:0:1 - - [12/May/2019:10:17:47 +0200] "GET /MapZ/Metro.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2019:10:17:47 +0200] "GET /MapZ/jquery-3.3.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2019:10:17:47 +0200] "GET /MapZ/theme.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2019:10:17:47 +0200] "GET /MapZ/Data/reseau.json HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2019:10:17:47 +0200] "GET /MapZ/Data/mask.json HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2019:10:17:48 +0200] "GET /MapZ/Data/traffic.json HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2019:10:17:56 +0200] "GET /favicon.ico HTTP/1.1" 404 1079
127.0.0.1 - - [12/May/2019:10:46:12 +0200] "GET /MapZ/map.jsp HTTP/1.1" 200 1027
0:0:0:0:0:0:0:1 - - [12/May/2019:10:46:19 +0200] "GET /MapZ/map.jsp HTTP/1.1" 200 1027
127.0.0.1 - - [12/May/2019:10:47:44 +0200] "GET /MapZ/map.jsp HTTP/1.1" 200 1027
0:0:0:0:0:0:0:1 - - [12/May/2019:10:47:50 +0200] "GET /MapZ/map.jsp HTTP/1.1" 200 1027
